NO	DATE1	JISCODE1	PNAME1	GNAME1	CNAME1	WEIGHT	DATE2	JISCODE2	PNAME2	GNAME2	CNAME2
113	19701001	1201	北海道		札幌市	1	20151001	1100	北海道	札幌市	
185	19701001	1202	北海道		函館市	1	20151001	1202	北海道		函館市
3258	19701001	1203	北海道		小樽市	1	20151001	1203	北海道		小樽市
48	19701001	1204	北海道		旭川市	1	20151001	1204	北海道		旭川市
3259	19701001	1205	北海道		室蘭市	1	20151001	1205	北海道		室蘭市
2237	19701001	1206	北海道		釧路市	1	20151001	1206	北海道		釧路市
3260	19701001	1207	北海道		帯広市	1	20151001	1207	北海道		帯広市
2743	19701001	1208	北海道		北見市	1	20151001	1208	北海道		北見市
3261	19701001	1209	北海道		夕張市	1	20151001	1209	北海道		夕張市
2888	19701001	1210	北海道		岩見沢市	1	20151001	1210	北海道		岩見沢市
3262	19701001	1211	北海道		網走市	1	20151001	1211	北海道		網走市
3263	19701001	1212	北海道		留萌市	1	20151001	1212	北海道		留萌市
3264	19701001	1213	北海道		苫小牧市	1	20151001	1213	北海道		苫小牧市
3265	19701001	1214	北海道		稚内市	1	20151001	1214	北海道		稚内市
3266	19701001	1215	北海道		美唄市	1	20151001	1215	北海道		美唄市
3267	19701001	1216	北海道		芦別市	1	20151001	1216	北海道		芦別市
3268	19701001	1217	北海道		江別市	1	20151001	1217	北海道		江別市
3269	19701001	1218	北海道		赤平市	1	20151001	1218	北海道		赤平市
3270	19701001	1219	北海道		紋別市	1	20151001	1219	北海道		紋別市
1971	19701001	1220	北海道		士別市	1	20151001	1220	北海道		士別市
2892	19701001	1221	北海道		名寄市	1	20151001	1221	北海道		名寄市
3271	19701001	1222	北海道		三笠市	1	20151001	1222	北海道		三笠市
3272	19701001	1223	北海道		根室市	1	20151001	1223	北海道		根室市
3273	19701001	1224	北海道		千歳市	1	20151001	1224	北海道		千歳市
61	19701001	1225	北海道		滝川市	1	20151001	1225	北海道		滝川市
3274	19701001	1226	北海道		砂川市	1	20151001	1226	北海道		砂川市
3275	19701001	1227	北海道		歌志内市	1	20151001	1227	北海道		歌志内市
